model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_gold_turns,first_gold_turn,last_gold_turn,gold_coverage
gpt-5.5,low,observational-memory-gpt54-low,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9973544973544973,25,6,3,21,0.333
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,39,14,2,32,0.556
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,1,found_kept_failed,0,0.9907407407407407,39,16,2,32,0.556
gpt-5.5,low,observational-memory-gpt54-low,kgateway-consistent-hash-policy,2,found_kept_failed,0,0.9907407407407407,38,12,2,32,0.556
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,0,found_then_lost,0,0.9999002659574469,39,14,5,27,0.333
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,1,found_kept_failed,0,0.9998670212765958,45,22,5,38,0.333
gpt-5.5,low,observational-memory-gpt54-low,mashumaro-flattened-dataclass-fields,2,found_kept_failed,0,0.9997340425531915,36,15,5,27,0.667
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,0,solved,1,1.0,24,7,2,9,0.8
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,1,solved,1,1.0,20,3,2,6,0.8
gpt-5.5,low,observational-memory-gpt54-low,ts-pattern-match-each,2,solved,1,1.0,26,5,3,9,0.8
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,0,found_kept_failed,0,0.9916666666666667,37,27,3,33,1.0
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,1,solved,1,1.0,49,23,3,37,1.0
gpt-5.5,low,observational-memory-gpt54-low,yjs-map-conflict-detection,2,found_kept_failed,0,0.9958333333333333,32,19,3,26,0.75
deepseek-v4-flash,high,baseline,abs-module-cache-flags,0,found_kept_failed,0,0.6956521739130435,101,22,1,86,0.75
deepseek-v4-flash,high,baseline,abs-stepped-slices,0,found_then_lost,0,0.6666666666666666,115,33,2,75,1.0
deepseek-v4-flash,high,baseline,actionlint-action-pinning-lint,0,solved,1,1.0,101,51,1,93,1.0
deepseek-v4-flash,high,baseline,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9985621854780733,207,78,6,190,1.0
deepseek-v4-flash,high,baseline,aiomonitor-task-snapshots-diff,0,found_then_lost,0,0.7540983606557377,46,21,2,31,1.0
deepseek-v4-flash,high,baseline,anko-default-function-arguments,0,found_kept_failed,-1,0.0,70,7,4,69,0.333
deepseek-v4-flash,high,baseline,anko-typed-variable-bindings,0,found_kept_failed,0,0.9611650485436893,84,39,2,69,0.778
deepseek-v4-flash,high,baseline,arcane-drift-detection-baselines,0,found_kept_failed,0,0.8452380952380952,85,36,2,72,1.0
deepseek-v4-flash,high,baseline,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9970657276995305,89,16,3,39,0.857
deepseek-v4-flash,high,baseline,awilix-async-container-initialization,0,found_then_lost,0,0.978494623655914,81,39,2,56,1.0
deepseek-v4-flash,high,baseline,bandit-incremental-cache-control,0,found_then_lost,0,0.9669421487603306,50,15,1,33,0.833
deepseek-v4-flash,high,baseline,bandit-interprocedural-taint-checks,0,found_kept_failed,0,0.9972144846796658,71,13,3,59,0.333
deepseek-v4-flash,high,baseline,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9886039886039886,47,13,2,40,0.714
deepseek-v4-flash,high,baseline,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.0,34,26,4,33,0.8
deepseek-v4-flash,high,baseline,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.9473684210526315,111,53,2,108,0.667
deepseek-v4-flash,high,baseline,clack-async-autocomplete-options,0,found_kept_failed,0,0.9558620689655173,34,12,2,28,0.667
deepseek-v4-flash,high,baseline,claude-code-by-agents-recursive-delegation,0,found_kept_failed,0,0.8421052631578947,32,9,1,31,1.0
deepseek-v4-flash,high,baseline,cliffy-config-file-parsing,0,found_then_lost,0,0.9938524590163934,46,15,1,23,0.667
deepseek-v4-flash,high,baseline,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9988090984875551,63,24,3,54,0.667
deepseek-v4-flash,high,baseline,dasel-html-document-format,0,found_kept_failed,0,0.9922279792746114,61,24,3,55,0.75
deepseek-v4-flash,high,baseline,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9933396764985728,53,25,2,51,1.0
deepseek-v4-flash,high,baseline,drizzle-orm-window-function-builders,0,found_kept_failed,0,0.9827586206896551,143,93,5,132,1.0
deepseek-v4-flash,high,baseline,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9922958397534669,67,51,3,65,0.562
deepseek-v4-flash,high,baseline,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9992331288343558,276,146,3,266,0.833
deepseek-v4-flash,high,baseline,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.5982905982905983,51,33,3,50,1.0
deepseek-v4-flash,high,baseline,eicrud-keyset-pagination-cursor,0,found_kept_failed,0,0.945054945054945,145,41,3,138,0.571
deepseek-v4-flash,high,baseline,etree-xml-diff-patch,0,found_kept_failed,0,0.7910447761194029,60,34,1,59,0.375
deepseek-v4-flash,high,baseline,expr-try-catch-errors,0,found_kept_failed,0,0.9988544555649342,50,30,2,49,0.917
deepseek-v4-flash,high,baseline,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.966065423417915,77,51,2,70,1.0
deepseek-v4-flash,high,baseline,fastapi-implicit-head-options,0,found_kept_failed,0,0.0003147623544224111,24,18,2,23,1.0
deepseek-v4-flash,high,baseline,fd-deterministic-multi-key-sorting,0,found_kept_failed,0,0.9671052631578947,97,49,2,90,1.0
deepseek-v4-flash,high,baseline,geo-shapeindex-serialization,0,found_kept_failed,0,0.9839486356340289,62,17,3,56,0.857
deepseek-v4-flash,high,baseline,go-critic-doc-link-checker,0,found_kept_failed,0,0.0,86,28,3,85,1.0
deepseek-v4-flash,high,baseline,go-genai-streamed-function-args,0,found_kept_failed,0,0.9264705882352942,52,20,2,42,0.75
deepseek-v4-flash,high,baseline,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.7368421052631579,51,7,1,45,1.0
deepseek-v4-flash,high,baseline,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.46551724137931033,34,20,2,33,0.5
deepseek-v4-flash,high,baseline,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9939613526570048,55,41,3,52,1.0
deepseek-v4-flash,high,baseline,happy-dom-abort-pending-body-reads,0,found_kept_failed,0,0.9273743016759777,36,12,5,28,1.0
deepseek-v4-flash,high,baseline,happy-dom-deterministic-intersectionobserver,0,found_kept_failed,0,0.9565217391304348,37,4,2,29,0.25
deepseek-v4-flash,high,baseline,helm-array-merge-strategies,0,found_kept_failed,0,0.0,44,27,2,39,0.857
deepseek-v4-flash,high,baseline,helm-unified-manifest-stream,0,found_kept_failed,0,0.7142857142857143,63,32,2,58,0.7
deepseek-v4-flash,high,baseline,httpx-deterministic-cookie-store,0,found_then_lost,0,0.9871060171919771,70,20,1,50,0.8
deepseek-v4-flash,high,baseline,httpx-multipart-response-parsing,0,found_kept_failed,0,0.9569583931133429,42,21,3,39,1.0
deepseek-v4-flash,high,baseline,httpx-streaming-json-iteration,0,found_then_lost,0,0.9834656084656085,54,13,3,31,0.333
deepseek-v4-flash,high,baseline,igel-persist-feature-schema,0,found_then_lost,0,0.5769230769230769,44,21,2,27,1.0
deepseek-v4-flash,high,baseline,ink-grid-box-layout,0,found_kept_failed,0,0.8243243243243243,55,16,3,54,1.0
deepseek-v4-flash,high,baseline,ipython-session-bundle-replay,0,found_kept_failed,0,0.8478260869565217,92,24,2,81,1.0
deepseek-v4-flash,high,baseline,katex-multicolumn-array-spans,0,found_kept_failed,0,0.9783549783549783,61,32,2,59,1.0
deepseek-v4-flash,high,baseline,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.5238095238095238,37,19,1,34,0.667
deepseek-v4-flash,high,baseline,kea-atomic-signal-selectors,0,found_kept_failed,0,0.9205298013245033,38,18,2,31,0.875
deepseek-v4-flash,high,baseline,kgateway-consistent-hash-policy,0,found_kept_failed,-1,0.0,21,6,1,20,0.444
deepseek-v4-flash,high,baseline,kombu-single-active-consumer-priority,0,found_kept_failed,-1,0.0,57,32,3,51,1.0
deepseek-v4-flash,high,baseline,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9885752688172043,82,47,2,67,0.8
deepseek-v4-flash,high,baseline,koota-composite-trait-aspects,0,found_kept_failed,0,0.5560538116591929,50,36,2,49,1.0
deepseek-v4-flash,high,baseline,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.949748743718593,38,28,4,37,1.0
deepseek-v4-flash,high,baseline,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9923664122137404,52,17,2,42,1.0
deepseek-v4-flash,high,baseline,koota-pair-relation-tracking,0,found_kept_failed,0,0.819047619047619,25,14,4,24,0.917
deepseek-v4-flash,high,baseline,koota-query-predicates,0,found_kept_failed,0,0.8,51,42,2,50,0.933
deepseek-v4-flash,high,baseline,kysely-window-grouping-helpers,0,found_kept_failed,0,0.0,43,25,3,42,0.8
deepseek-v4-flash,high,baseline,langchain-request-coalescing,0,found_kept_failed,0,0.9787234042553191,63,28,1,62,1.0
deepseek-v4-flash,high,baseline,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.0,40,23,4,39,0.333
deepseek-v4-flash,high,baseline,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9963119686323226,27,13,3,26,1.0
deepseek-v4-flash,high,baseline,mnamer-daemon-watch-lifecycle,0,found_then_lost,0,0.9864864864864865,60,8,2,44,1.0
deepseek-v4-flash,high,baseline,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9661781285231116,65,16,2,62,1.0
deepseek-v4-flash,high,baseline,narwhals-rolling-window-suite,0,found_kept_failed,0,0.9992153785798352,121,54,3,109,1.0
deepseek-v4-flash,high,baseline,numba-stencil-boundary-modes,0,found_kept_failed,0,0.9661214953271028,22,12,2,21,0.333
deepseek-v4-flash,high,baseline,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.6339590443686007,61,25,4,57,0.8
deepseek-v4-flash,high,baseline,obsidian-linter-link-format-conversion,0,found_kept_failed,0,0.998320738874895,55,27,10,54,0.667
deepseek-v4-flash,high,baseline,obsidian-linter-scoped-ignore-markers,0,found_kept_failed,0,0.9716981132075472,55,32,2,53,0.667
deepseek-v4-flash,high,baseline,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.9666666666666667,28,10,2,25,0.667
deepseek-v4-flash,high,baseline,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.9772727272727273,70,31,2,56,1.0
deepseek-v4-flash,high,baseline,opa-rego-rule-profiling,0,found_kept_failed,0,0.5806451612903226,75,27,1,63,1.0
deepseek-v4-flash,high,baseline,opa-template-string-reconstruction,0,found_kept_failed,0,0.4444444444444444,67,9,8,53,0.25
deepseek-v4-flash,high,baseline,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9826086956521739,10,7,1,9,0.6
deepseek-v4-flash,high,baseline,oxvg-structural-selector-preservation,0,found_then_lost,-1,0.0,26,2,5,9,0.667
deepseek-v4-flash,high,baseline,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.6844262295081968,75,22,1,72,0.214
deepseek-v4-flash,high,baseline,pebble-durability-wait-apis,0,found_kept_failed,0,0.5728155339805825,133,96,2,119,0.875
deepseek-v4-flash,high,baseline,pest-character-class-coalescing,0,found_kept_failed,0,0.8248587570621468,91,33,3,81,1.0
deepseek-v4-flash,high,baseline,prometheus-transactional-reload-status,0,found_then_lost,0,0.9690721649484536,88,45,2,62,0.3
deepseek-v4-flash,high,baseline,prometheus-typed-label-sorting,0,found_then_lost,0,0.8,109,6,7,33,0.333
deepseek-v4-flash,high,baseline,psd-tools-blend-range-api,0,found_kept_failed,0,0.9892578125,28,18,1,26,1.0
deepseek-v4-flash,high,baseline,pwntools-tube-multiplexing,0,found_kept_failed,0,0.35135135135135137,55,17,1,54,1.0
deepseek-v4-flash,high,baseline,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.9749631811487481,53,21,2,44,0.688
deepseek-v4-flash,high,baseline,query-persist-restored-query-state,0,found_then_lost,0,0.98,47,18,3,31,0.667
deepseek-v4-flash,high,baseline,quill-shared-toolbar-focus,0,found_kept_failed,0,0.8285714285714286,62,37,3,60,0.625
deepseek-v4-flash,high,baseline,returns-validated-error-accumulation,0,found_kept_failed,0,0.9727272727272728,61,29,5,60,1.0
deepseek-v4-flash,high,baseline,scc-bounded-memory-spilling,0,found_kept_failed,0,0.9779179810725552,47,26,1,40,0.25
deepseek-v4-flash,high,baseline,scriggo-method-declarations,0,found_kept_failed,0,0.7739288969917958,46,23,2,44,0.722
deepseek-v4-flash,high,baseline,skrub-duration-encoding,0,found_kept_failed,0,0.9934797529169527,62,25,4,55,1.0
deepseek-v4-flash,high,baseline,sql-formatter-bigquery-pipe-formatting,0,found_kept_failed,0,0.999128160418483,53,30,2,51,0.909
deepseek-v4-flash,high,baseline,sqlfmt-create-table-ddl-formatting,0,found_kept_failed,0,0.9793103448275862,43,16,2,33,1.0
deepseek-v4-flash,high,baseline,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.0,42,24,3,37,0.6
deepseek-v4-flash,high,baseline,superjson-error-stack-serialization,0,found_kept_failed,0,0.8775510204081632,55,35,2,48,1.0
deepseek-v4-flash,high,baseline,task-task-graph-export,0,found_kept_failed,0,0.8378378378378378,75,35,1,74,1.0
deepseek-v4-flash,high,baseline,tengo-callable-instance-isolation,0,found_kept_failed,0,0.9586206896551724,53,19,1,44,0.75
deepseek-v4-flash,high,baseline,tengo-destructuring-bindings,0,found_kept_failed,0,0.0,61,47,1,60,1.0
deepseek-v4-flash,high,baseline,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9344262295081968,72,11,1,60,0.375
deepseek-v4-flash,high,baseline,testem-bail-on-test-failure,0,found_kept_failed,0,0.9792746113989638,58,46,3,54,0.944
deepseek-v4-flash,high,baseline,testem-per-launcher-reports,0,found_then_lost,0,0.9700374531835206,41,9,2,19,1.0
deepseek-v4-flash,high,baseline,textual-kitty-key-phases,0,found_kept_failed,0,0.85,72,20,2,64,0.714
deepseek-v4-flash,high,baseline,textual-richlog-follow-state,0,found_kept_failed,0,0.9230769230769231,67,12,2,60,1.0
deepseek-v4-flash,high,baseline,tomlkit-toml-table-converters,0,found_kept_failed,0,0.9970703125,53,19,1,48,1.0
deepseek-v4-flash,high,baseline,true-myth-iterable-collection-combinators,0,found_then_lost,0,0.9984779299847792,97,29,2,40,1.0
deepseek-v4-flash,high,baseline,ts-pattern-match-each,0,found_then_lost,0,0.06593406593406594,57,4,2,15,0.8
deepseek-v4-flash,high,baseline,updo-policy-alerting,0,found_then_lost,0,0.9785714285714285,58,25,1,42,0.556
deepseek-v4-flash,high,baseline,valibot-recursive-schema-composition,0,found_kept_failed,0,0.954337899543379,56,29,2,50,0.684
deepseek-v4-flash,high,baseline,vitest-duration-sharding,0,found_kept_failed,0,0.8625,86,41,3,84,1.0
deepseek-v4-flash,high,baseline,vulture-persistent-analysis-cache,0,found_kept_failed,0,0.9717868338557993,81,37,2,73,1.0
deepseek-v4-flash,high,baseline,wasmi-trap-coredumps,0,found_kept_failed,-1,0.0,32,17,3,31,0.857
deepseek-v4-flash,high,baseline,wazero-multi-module-snapshots,0,solved,1,1.0,54,9,2,21,0.429
deepseek-v4-flash,high,baseline,yaegi-go-embed-directives,0,found_kept_failed,0,0.0,60,17,2,55,1.0
deepseek-v4-flash,high,baseline,yjs-map-conflict-detection,0,found_kept_failed,0,0.9958333333333333,90,47,2,81,1.0
deepseek-v4-flash,high,baseline,ytt-jsonpath-query-api,0,found_then_lost,0,0.9807692307692307,51,11,4,27,0.4
deepseek-v4-flash,high,observational-memory,abs-module-cache-flags,0,found_then_lost,0,0.9565217391304348,154,15,1,64,0.75
deepseek-v4-flash,high,observational-memory,abs-stepped-slices,0,found_then_lost,0,0.4166666666666667,70,20,2,35,1.0
deepseek-v4-flash,high,observational-memory,actionlint-action-pinning-lint,0,solved,1,1.0,74,32,1,69,1.0
deepseek-v4-flash,high,observational-memory,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.0,53,42,3,52,1.0
deepseek-v4-flash,high,observational-memory,aiomonitor-task-snapshots-diff,0,found_kept_failed,0,0.7213114754098361,57,34,2,55,1.0
deepseek-v4-flash,high,observational-memory,anko-default-function-arguments,0,found_then_lost,0,0.9917355371900827,109,1,4,4,0.333
deepseek-v4-flash,high,observational-memory,anko-typed-variable-bindings,0,found_kept_failed,0,0.970873786407767,81,32,2,64,0.778
deepseek-v4-flash,high,observational-memory,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,104,32,2,97,0.833
deepseek-v4-flash,high,observational-memory,arktype-json-schema-refs-dependencies,0,found_kept_failed,0,0.9982394366197183,97,43,3,79,0.857
deepseek-v4-flash,high,observational-memory,awilix-async-container-initialization,0,found_kept_failed,0,0.967741935483871,79,38,2,78,1.0
deepseek-v4-flash,high,observational-memory,bandit-incremental-cache-control,0,found_kept_failed,0,0.9449035812672176,63,22,2,53,0.833
deepseek-v4-flash,high,observational-memory,bandit-interprocedural-taint-checks,0,found_then_lost,0,0.8857938718662952,80,9,4,31,0.556
deepseek-v4-flash,high,observational-memory,bandit-structured-nosec-directives,0,found_then_lost,0,0.9914529914529915,79,14,2,33,0.714
deepseek-v4-flash,high,observational-memory,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,-1,0.0,155,74,3,135,0.8
deepseek-v4-flash,high,observational-memory,cattrs-partial-structuring-recovery,0,found_kept_failed,0,0.13157894736842105,62,17,2,56,1.0
deepseek-v4-flash,high,observational-memory,clack-async-autocomplete-options,0,found_then_lost,0,0.9710344827586207,71,14,3,46,0.667
deepseek-v4-flash,high,observational-memory,claude-code-by-agents-recursive-delegation,0,found_kept_failed,0,0.8421052631578947,72,10,1,63,1.0
deepseek-v4-flash,high,observational-memory,cliffy-config-file-parsing,0,found_then_lost,0,0.9959016393442623,79,32,2,53,0.667
deepseek-v4-flash,high,observational-memory,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9990472787900441,48,11,3,45,0.667
deepseek-v4-flash,high,observational-memory,dasel-html-document-format,0,found_kept_failed,0,0.697754749568221,71,18,3,53,0.75
deepseek-v4-flash,high,observational-memory,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9952426260704091,94,41,2,84,1.0
deepseek-v4-flash,high,observational-memory,drizzle-orm-window-function-builders,0,found_kept_failed,0,0.9396551724137931,54,39,4,52,1.0
deepseek-v4-flash,high,observational-memory,dynamodb-toolbox-conditional-attribute-requirements,0,found_kept_failed,0,0.9953775038520801,88,64,3,87,0.875
deepseek-v4-flash,high,observational-memory,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9976993865030674,164,80,4,141,0.917
deepseek-v4-flash,high,observational-memory,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.5982905982905983,193,94,1,171,1.0
deepseek-v4-flash,high,observational-memory,eicrud-keyset-pagination-cursor,0,solved,1,1.0,111,20,2,93,0.714
deepseek-v4-flash,high,observational-memory,etree-xml-diff-patch,0,found_kept_failed,0,0.2537313432835821,67,38,1,58,0.375
deepseek-v4-flash,high,observational-memory,expr-try-catch-errors,0,found_kept_failed,0,0.9987941637525624,73,45,2,69,0.833
deepseek-v4-flash,high,observational-memory,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.979822684194436,106,71,2,105,1.0
deepseek-v4-flash,high,observational-memory,fastapi-implicit-head-options,0,found_kept_failed,0,0.9971671388101983,220,106,2,217,1.0
deepseek-v4-flash,high,observational-memory,fd-deterministic-multi-key-sorting,0,solved,1,1.0,87,29,2,42,1.0
deepseek-v4-flash,high,observational-memory,geo-shapeindex-serialization,0,found_then_lost,0,0.9839486356340289,52,5,3,27,0.857
deepseek-v4-flash,high,observational-memory,go-critic-doc-link-checker,0,found_kept_failed,0,0.8947368421052632,104,17,5,100,1.0
deepseek-v4-flash,high,observational-memory,go-genai-streamed-function-args,0,found_kept_failed,0,0.9264705882352942,107,16,4,101,0.75
deepseek-v4-flash,high,observational-memory,go-git-worktree-merge-conflicts,0,found_then_lost,0,0.5263157894736842,81,15,1,56,1.0
deepseek-v4-flash,high,observational-memory,goreleaser-retry-publish-auditing,0,found_kept_failed,0,0.6206896551724138,89,37,2,81,0.667
deepseek-v4-flash,high,observational-memory,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9951690821256038,82,37,2,76,1.0
deepseek-v4-flash,high,observational-memory,happy-dom-abort-pending-body-reads,0,found_then_lost,0,0.994413407821229,73,24,4,47,1.0
deepseek-v4-flash,high,observational-memory,happy-dom-deterministic-intersectionobserver,0,found_kept_failed,0,0.8695652173913043,59,11,3,51,0.25
deepseek-v4-flash,high,observational-memory,helm-array-merge-strategies,0,found_kept_failed,0,0.7627118644067796,111,57,2,109,1.0
deepseek-v4-flash,high,observational-memory,helm-unified-manifest-stream,0,solved,1,1.0,145,25,2,117,0.7
deepseek-v4-flash,high,observational-memory,httpx-deterministic-cookie-store,0,found_kept_failed,0,0.995702005730659,93,37,1,73,0.8
deepseek-v4-flash,high,observational-memory,httpx-multipart-response-parsing,0,found_kept_failed,0,0.9978479196556671,46,14,2,36,1.0
deepseek-v4-flash,high,observational-memory,httpx-streaming-json-iteration,0,found_then_lost,0,0.998015873015873,55,4,1,10,0.333
deepseek-v4-flash,high,observational-memory,igel-persist-feature-schema,0,found_kept_failed,0,0.07692307692307693,105,46,2,88,1.0
deepseek-v4-flash,high,observational-memory,ink-grid-box-layout,0,found_then_lost,0,0.6891891891891891,75,9,3,54,1.0
deepseek-v4-flash,high,observational-memory,ipython-session-bundle-replay,0,found_kept_failed,0,0.9130434782608695,84,33,5,70,0.667
deepseek-v4-flash,high,observational-memory,katex-multicolumn-array-spans,0,found_kept_failed,0,0.9812409812409812,127,41,2,117,1.0
deepseek-v4-flash,high,observational-memory,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.3333333333333333,61,36,1,59,0.667
deepseek-v4-flash,high,observational-memory,kea-atomic-signal-selectors,0,found_kept_failed,0,0.9668874172185431,102,36,2,99,0.875
deepseek-v4-flash,high,observational-memory,kgateway-consistent-hash-policy,0,found_then_lost,0,0.9907407407407407,112,19,1,66,0.556
deepseek-v4-flash,high,observational-memory,kombu-single-active-consumer-priority,0,found_kept_failed,0,0.9926958831341302,125,67,2,123,1.0
deepseek-v4-flash,high,observational-memory,kombu-virtual-queue-dead-lettering,0,found_then_lost,0,0.9791666666666666,60,35,2,43,0.8
deepseek-v4-flash,high,observational-memory,koota-composite-trait-aspects,0,found_kept_failed,0,0.905829596412556,93,68,2,80,0.875
deepseek-v4-flash,high,observational-memory,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.9095477386934674,104,63,4,89,1.0
deepseek-v4-flash,high,observational-memory,koota-entity-snapshot-rollback,0,found_kept_failed,0,0.9770992366412213,64,33,2,56,0.8
deepseek-v4-flash,high,observational-memory,koota-pair-relation-tracking,0,found_kept_failed,0,0.9666666666666667,237,40,4,185,1.0
deepseek-v4-flash,high,observational-memory,koota-query-predicates,0,found_kept_failed,0,0.9627906976744186,166,108,2,159,1.0
deepseek-v4-flash,high,observational-memory,kysely-window-grouping-helpers,0,found_kept_failed,0,0.07971014492753623,107,63,3,92,0.733
deepseek-v4-flash,high,observational-memory,langchain-request-coalescing,0,found_kept_failed,0,0.9929078014184397,90,39,1,80,1.0
deepseek-v4-flash,high,observational-memory,mashumaro-flattened-dataclass-fields,0,found_kept_failed,0,0.9996675531914894,109,48,2,92,0.333
deepseek-v4-flash,high,observational-memory,meriyah-explicit-resource-declarations,0,found_kept_failed,0,0.9997864823945029,113,60,3,104,1.0
deepseek-v4-flash,high,observational-memory,mnamer-daemon-watch-lifecycle,0,found_then_lost,0,0.9945945945945946,78,20,2,57,1.0
deepseek-v4-flash,high,observational-memory,mobly-grouped-test-barriers,0,found_kept_failed,0,0.9909808342728298,56,16,2,46,1.0
deepseek-v4-flash,high,observational-memory,narwhals-rolling-window-suite,0,solved,1,1.0,128,51,2,121,1.0
deepseek-v4-flash,high,observational-memory,numba-stencil-boundary-modes,0,found_kept_failed,0,0.9824766355140186,50,21,2,48,0.667
deepseek-v4-flash,high,observational-memory,obsidian-linter-auto-table-of-contents,0,found_kept_failed,0,0.9650170648464164,81,28,2,80,0.8
deepseek-v4-flash,high,observational-memory,obsidian-linter-link-format-conversion,0,found_kept_failed,0,0.9991603694374476,50,20,4,46,0.667
deepseek-v4-flash,high,observational-memory,obsidian-linter-scoped-ignore-markers,0,found_then_lost,0,0.9716981132075472,40,8,2,27,0.667
deepseek-v4-flash,high,observational-memory,ofetch-per-origin-circuit-breaker,0,found_kept_failed,0,0.95,70,20,3,54,0.667
deepseek-v4-flash,high,observational-memory,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.8068181818181818,79,34,2,72,0.636
deepseek-v4-flash,high,observational-memory,opa-rego-rule-profiling,0,found_then_lost,-1,0.0,34,6,1,12,0.667
deepseek-v4-flash,high,observational-memory,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,171,11,9,163,0.25
deepseek-v4-flash,high,observational-memory,optique-conditional-option-dependencies,0,found_kept_failed,0,0.8328502415458937,62,45,4,61,1.0
deepseek-v4-flash,high,observational-memory,oxvg-structural-selector-preservation,0,found_kept_failed,0,0.9117647058823529,142,14,17,115,0.333
deepseek-v4-flash,high,observational-memory,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.680327868852459,81,8,1,75,0.214
deepseek-v4-flash,high,observational-memory,pebble-durability-wait-apis,0,found_kept_failed,0,0.9320388349514563,107,75,1,99,0.875
deepseek-v4-flash,high,observational-memory,pest-character-class-coalescing,0,found_kept_failed,0,0.9124293785310734,56,26,2,48,1.0
deepseek-v4-flash,high,observational-memory,prometheus-transactional-reload-status,0,found_kept_failed,0,0.979381443298969,113,39,2,106,0.3
deepseek-v4-flash,high,observational-memory,prometheus-typed-label-sorting,0,found_then_lost,0,0.9333333333333333,70,4,5,23,0.333
deepseek-v4-flash,high,observational-memory,psd-tools-blend-range-api,0,found_then_lost,0,0.9951171875,35,11,2,17,1.0
deepseek-v4-flash,high,observational-memory,pwntools-tube-multiplexing,0,found_kept_failed,0,0.918918918918919,70,16,1,61,1.0
deepseek-v4-flash,high,observational-memory,python-statemachine-state-data-scoping,0,found_kept_failed,0,0.979381443298969,155,55,1,137,0.812
deepseek-v4-flash,high,observational-memory,query-persist-restored-query-state,0,found_then_lost,0,0.98,79,19,2,52,0.667
deepseek-v4-flash,high,observational-memory,quill-shared-toolbar-focus,0,found_then_lost,0,0.7714285714285715,70,21,2,42,0.625
deepseek-v4-flash,high,observational-memory,returns-validated-error-accumulation,0,solved,1,1.0,54,15,5,49,1.0
deepseek-v4-flash,high,observational-memory,scc-bounded-memory-spilling,0,found_kept_failed,0,0.9905362776025236,126,50,2,117,0.25
deepseek-v4-flash,high,observational-memory,scriggo-method-declarations,0,found_kept_failed,0,0.9544211485870556,84,48,3,83,0.778
deepseek-v4-flash,high,observational-memory,skrub-duration-encoding,0,found_kept_failed,0,0.9893617021276596,78,46,2,76,1.0
deepseek-v4-flash,high,observational-memory,sql-formatter-bigquery-pipe-formatting,0,solved,1,1.0,97,35,4,76,0.818
